route_id,service_id,trip_id
S4060,weekday,weekday_S4060_S406002_1
S4060,weekday,weekday_S4060_S406002_2
S2000,weekday,weekday_S2000_S200002_0
S2000,weekday,weekday_S2000_S200002_1
S2000,weekend,weekend_S2000_S200002_0
S2000,weekend,weekend_S2000_S200002_1
S2030,weekday,weekday_S2030_S203002_0
S2030,weekday,weekday_S2030_S203002_1
S2030,weekday,weekday_S2030_S203002_2
S2030,weekday,weekday_S2030_S203002_3
S2030,weekday,weekday_S2030_S203002_4
S2030,weekday,weekday_S2030_S203002_5
S2030,weekday,weekday_S2030_S203002_6
S2030,weekday,weekday_S2030_S203002_7
S2030,weekend,weekend_S2030_S203002_0
S2030,weekend,weekend_S2030_S203002_1
S2030,weekend,weekend_S2030_S203002_2
S2030,weekend,weekend_S2030_S203002_3
S2030,weekend,weekend_S2030_S203002_4
S2030,weekend,weekend_S2030_S203002_5
S2030,weekend,weekend_S2030_S203002_6
S2030,weekend,weekend_S2030_S203002_7
S1080,weekend,weekend_S1080_S108002_0
S1080,weekend,weekend_S1080_S108002_1
S1080,weekend,weekend_S1080_S108001_2
S1080,weekday,weekday_S1080_S108002_0
S1080,weekday,weekday_S1080_S108002_1
S1080,weekday,weekday_S1080_S108001_2
T2000,weekday,weekday_T2000_T200002_0
T2000,weekday,weekday_T2000_T200002_1
T2000,weekday,weekday_T2000_T200002_2
T2000,weekend,weekend_T2000_T200002_0
T2000,weekend,weekend_T2000_T200002_1
T2000,weekend,weekend_T2000_T200002_2
S0030,weekend,weekend_S0030_S003002_0
S0030,weekend,weekend_S0030_S003002_1
S0030,weekend,weekend_S0030_S003002_2
S0030,weekend,weekend_S0030_S003002_3
S0030,weekend,weekend_S0030_S003002_4
S0030,weekend,weekend_S0030_S003002_5
S0030,weekend,weekend_S0030_S003002_6
S0030,weekend,weekend_S0030_S003002_7
S0030,weekend,weekend_S0030_S003002_8
S0030,weekday,weekday_S0030_S003002_0
S0030,weekday,weekday_S0030_S003002_1
